"Data generated on Tuesday, February 27, 2024 at 8:15:20 PM EST"
Consumption Commodities Imported,,,,,January - December
Area/Partners of Origin,,,,,Quantities
,,,,,,2022,
,HS Code,Product,,Partner,UOM,Qty,Reporter Code,Partner Code,Product Code,
"9","021011","Hams, Cured","4","Poland","MT","13.0","US","PL","021011",
"9","021011","Hams, Cured","5","France(*)","MT","4.8","US","FR","021011",
"10","020621","Bovine Tongues, Froz","1","Canada","MT","868.5","US","CA","020621",
"10","020621","Bovine Tongues, Froz","2","Ireland","MT","107.3","US","EI","020621",
"10","020621","Bovine Tongues, Froz","3","New Zealand(*)","MT","90.3","US","NZ","020621",
"10","020621","Bovine Tongues, Froz","4","Nicaragua","MT","56.6","US","NU","020621",
"10","020621","Bovine Tongues, Froz","5","United Kingdom","MT","14.8","US","UK","020621",
"10","020621","Bovine Tongues, Froz","6","Costa Rica","MT","7.1","US","CS","020621",
"10","020621","Bovine Tongues, Froz","7","Mexico","MT","4.1","US","MX","020621",
"10","020621","Bovine Tongues, Froz","8","Australia(*)","MT","0.2","US","AS","020621",
"11","020990","Poultry Fat","1","Canada","MT","588.4","US","CA","020990",
"12","020622","Bovine Livers, Froz","1","Canada","MT","233.1","US","CA","020622",
"12","020622","Bovine Livers, Froz","2","Ireland","MT","112.2","US","EI","020622",
"12","020622","Bovine Livers, Froz","3","Australia(*)","MT","19.1","US","AS","020622",
"13","021020","Bovine Meat, Cured","1","Canada","MT","244.5","US","CA","021020",
"13","021020","Bovine Meat, Cured","2","Turkey","MT","41.8","US","TU","021020",
"13","021020","Bovine Meat, Cured","3","Uruguay","MT","24.7","US","UY","021020",
"13","021020","Bovine Meat, Cured","4","Mexico","MT","1.3","US","MX","021020",
"13","021020","Bovine Meat, Cured","5","New Zealand(*)","MT","0.9","US","NZ","021020",
"","","Grand Total","","","MT","156,733.9",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : Harmonized"
