,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"JACK, BAR",252,0,479,Public,Commercial,Carangoides ruber,168615,GULFFIN
2022,ALABAMA,"JACK, BAR",7,0,,Public,Recreational,Carangoides ruber,168615,MRIP
2022,ALABAMA,"JACK, BLUNTNOSE",,,,Confidential,Commercial,Hemicranx amblyrhynchus,168740,GULFFIN
2022,ALABAMA,"JACK, CREVALLE","256,870",117,,Public,Recreational,,168609,MRIP
2022,ALABAMA,"JACK, CREVALLE","4,537",2,"1,017",Public,Commercial,Caranx hippos,168609,GULFFIN
2022,ALABAMA,"KINGFISH, GULF","97,308",44,,Public,Recreational,,169275,MRIP
2022,ALABAMA,"KINGFISH, GULF",,,,Confidential,Commercial,Menticirrhus littoralis,169275,GULFFIN
2022,ALABAMA,"KINGFISH, SOUTHERN","517,763",235,,Public,Recreational,,169274,MRIP
2022,ALABAMA,KINGFISHES **,"4,521",2,"11,212",Public,Commercial,Menticirrhus,169273,GULFFIN
2022,ALABAMA,LADYFISH,"96,212",44,,Public,Recreational,,161111,MRIP
2022,ALABAMA,LADYFISH,"285,449",129,"250,769",Public,Commercial,Elops saurus,161111,GULFFIN
2022,ALABAMA,LIONFISH,"6,283",3,,Public,Recreational,,166885,MRIP
2022,ALABAMA,"LIZARDFISH, INSHORE",,,,Confidential,Commercial,Synodus foetens,162376,GULFFIN
2022,ALABAMA,"LIZARDFISH, INSHORE",2,0,,Public,Recreational,,162376,MRIP
2022,ALABAMA,"LIZARDFISHES, SYNODONTIDAE (FAMILY) **",,,,Confidential,Commercial,Synodontidae,162374,GULFFIN
2022,ALABAMA,LOOKDOWN,"10,785",5,,Public,Recreational,,168680,MRIP
2022,ALABAMA,LOOKDOWN,,,,Confidential,Commercial,Selene vomer,168680,GULFFIN
2022,ALABAMA,"MACKEREL, KING","165,425",75,"680,565",Public,Commercial,Scomberomorus cavalla,172435,GULFFIN
2022,ALABAMA,"MACKEREL, KING","234,281",106,,Public,Recreational,,172435,MRIP
2022,ALABAMA,"MACKEREL, SPANISH","1,349,678",612,,Public,Recreational,,172436,MRIP
2022,ALABAMA,"MACKEREL, SPANISH","264,279",120,"329,926",Public,Commercial,Scomberomorus maculatus,172436,GULFFIN
2022,ALABAMA,MACKERELS **,,,,Confidential,Commercial,Scomber,172411,GULFFIN
2022,ALABAMA,"MENHADEN, GULF","99,715",45,,Public,Recreational,,161734,MRIP
2022,ALABAMA,MENHADENS **,"855,094",388,"168,433",Public,Commercial,Brevoortia ,161731,GULFFIN
2022,ALABAMA,"MOONFISH, ATLANTIC",291,0,,Public,Recreational,,168684,MRIP
2022,ALABAMA,"MOONFISH, ATLANTIC",,,,Confidential,Commercial,Selene setapinnis,168684,GULFFIN
2022,ALABAMA,"MULLET, STRIPED","1,801,338",817,"1,290,888",Public,Commercial,Mugil cephalus,170335,GULFFIN
2022,ALABAMA,"MULLET, STRIPED","1,385,908",629,,Public,Recreational,,170335,MRIP
2022,ALABAMA,"MULLET, WHITE","9,531",4,,Public,Recreational,,170336,MRIP
2022,ALABAMA,"MULLET, WHITE",,,,Confidential,Commercial,Mugil curema,170336,GULFFIN
2022,ALABAMA,MULLETS,,,,Public,Recreational,,170333,MRIP
2022,ALABAMA,MULLETS **,"11,608",5,"8,893",Public,Commercial,Mugilidae,170333,GULFFIN
2022,ALABAMA,OILFISH,,,,Confidential,Commercial,Ruvettus pretiosus,172364,GULFFIN
2022,ALABAMA,"OYSTER, EASTERN","283,550",129,"4,359,540",Public,Commercial,Crassostrea virginica,79872,GULFFIN
2022,ALABAMA,"PERCH, SAND","1,365",1,,Public,Recreational,,167793,MRIP
2022,ALABAMA,PIGFISH,410,0,,Public,Recreational,,169077,MRIP
2022,ALABAMA,PINFISH,,,,Confidential,Commercial,Lagodon rhomboides,169187,GULFFIN
2022,ALABAMA,PINFISH,"83,322",38,,Public,Recreational,,169187,MRIP
2022,ALABAMA,"POMPANO, AFRICAN",337,0,"1,461",Public,Commercial,Alectis ciliaris,168602,GULFFIN
2022,ALABAMA,"POMPANO, AFRICAN",948,0,,Public,Recreational,,168602,MRIP
2022,ALABAMA,"POMPANO, FLORIDA","89,232",40,,Public,Recreational,,168708,MRIP
2022,ALABAMA,"POMPANO, FLORIDA","9,876",4,"45,012",Public,Commercial,Trachinotus carolinus,168708,GULFFIN
2022,ALABAMA,PORGIES,,,,Public,Recreational,,169180,MRIP
2022,ALABAMA,"PORGY, RED",367,0,700,Public,Commercial,Pagrus pagrus,169207,GULFFIN
2022,ALABAMA,"PORGY, RED","31,711",14,,Public,Recreational,,169207,MRIP
2022,ALABAMA,"PORGY, WHITEBONE","1,453",1,"5,470",Public,Commercial,Calamus leucosteus,169200,GULFFIN
2022,ALABAMA,"PORGY, WHITEBONE","3,882",2,,Public,Recreational,,169200,MRIP
2022,ALABAMA,"PUFFER, SMOOTH",57,0,,Public,Recreational,,173285,MRIP
2022,ALABAMA,"PUFFERS, TETRAODONTIDAE (FAMILY) **",,,,Confidential,Commercial,Tetraodontidae,173283,GULFFIN
2022,ALABAMA,"RUNNER, BLUE","25,215",11,"20,008",Public,Commercial,Caranx crysos,168612,GULFFIN
2022,ALABAMA,"RUNNER, BLUE","109,116",49,,Public,Recreational,,168612,MRIP
2022,ALABAMA,"RUNNER, RAINBOW",,,,Confidential,Commercial,Elagatis bipinnulata,168738,GULFFIN
2022,ALABAMA,"RUNNER, RAINBOW",619,0,,Public,Recreational,,168738,MRIP
2022,ALABAMA,"SARDINE, SCALED","56,549",26,,Public,Recreational,,161755,MRIP
2022,ALABAMA,"SARDINE, SCALED",,,,Confidential,Commercial,Harengula jaguana,161755,GULFFIN
2022,ALABAMA,"SCAD, BIGEYE","35,613",16,"13,001",Public,Commercial,Selar crumenophthalmus,168677,GULFFIN
2022,ALABAMA,"SCAD, ROUND",959,0,,Public,Recreational,,168725,MRIP
2022,ALABAMA,SCADS **,,,,Confidential,Commercial,Decapterus ,168723,GULFFIN
2022,ALABAMA,SCAMP,"1,717",1,"6,108",Public,Commercial,Mycteroperca phenax,167763,GULFFIN
2022,ALABAMA,SCAMP,"35,334",16,,Public,Recreational,,167763,MRIP
2022,ALABAMA,"SCORPIONFISH, SPINYCHEEK",,,,Confidential,Commercial,Neomerinthe hemingwayi,166794,GULFFIN
2022,ALABAMA,SCORPIONFISHES **,,,,Confidential,Commercial,Scorpaenidae,166704,GULFFIN
2022,ALABAMA,"SEAROBIN, BLACKWING",20,0,,Public,Recreational,,166991,MRIP
2022,ALABAMA,"SEATROUT, SAND","27,018",12,"17,144",Public,Commercial,Cynoscion arenarius,169243,GULFFIN
2022,ALABAMA,"SEATROUT, SAND","616,435",280,,Public,Recreational,,169243,MRIP
2022,ALABAMA,"SEATROUT, SILVER","8,576",4,,Public,Recreational,,169240,MRIP
2022,ALABAMA,"SEATROUT, SPOTTED","610,782",277,,Public,Recreational,,169239,MRIP
2022,ALABAMA,"SEATROUT, SPOTTED",,,,Confidential,Commercial,Cynoscion nebulosus,169239,GULFFIN
2022,ALABAMA,"SENNET, NORTHERN",,,,Confidential,Commercial,Sphyraena borealis,170427,GULFFIN
2022,ALABAMA,"SHAD, THREADFIN",,,,Confidential,Commercial,Dorosoma petenense,161738,GULFFIN
2022,ALABAMA,SHARK FINS **,,,,Confidential,Commercial,Unspecified,2,EXCEPTIONS
2022,ALABAMA,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2022,ALABAMA,"SHARK, BLACKTIP","1,735",1,,Public,Recreational,,160318,MRIP
2022,ALABAMA,"SHARK, BONNETHEAD","5,201",2,,Public,Recreational,,160502,MRIP
2022,ALABAMA,"SHARK, BULL",,,,Public,Recreational,,160275,MRIP
2022,ALABAMA,"SHARK, BULL",,,,Confidential,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2022,ALABAMA,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230,EXCEPTIONS
2022,ALABAMA,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,GULFFIN
2022,ALABAMA,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2022,ALABAMA,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2022,ALABAMA,"SHARK, LEMON",,,,Confidential,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2022,ALABAMA,"SHARK, REQUIEM",,,,Public,Recreational,,160178,MRIP
2022,ALABAMA,"SHARK, SHARPNOSE, ATLANTIC","67,208",30,,Public,Recreational,,160200,MRIP
2022,ALABAMA,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2022,ALABAMA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2022,ALABAMA,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2022,ALABAMA,SHEEPSHEAD,"1,960,835",889,,Public,Recreational,,169189,MRIP
2022,ALABAMA,SHEEPSHEAD,"54,608",25,"58,908",Public,Commercial,Archosargus probatocephalus,169189,GULFFIN
2022,ALABAMA,"SHRIMP, BROWN","8,946,414","4,058","16,061,210",Public,Commercial,Penaeus aztecus,95605,GULFFIN
2022,ALABAMA,"SHRIMP, NORTHERN PINK","5,458,694","2,476","10,903,529",Public,Commercial,Penaeus duorarum,95608,GULFFIN
2022,ALABAMA,"SHRIMP, NORTHERN WHITE","9,639,612","4,372","25,530,068",Public,Commercial,Penaeus setiferus,95610,GULFFIN
2022,ALABAMA,"SHRIMP, ROYAL RED",,,,Confidential,Commercial,Pleoticus robustus,95966,GULFFIN
2022,ALABAMA,"SHRIMPS, ROCK **","230,421",105,"334,788",Public,Commercial,Sicyonia,96027,GULFFIN
2022,ALABAMA,"SNAPPER, GRAY","211,593",96,,Public,Recreational,,168848,MRIP
